date,week,year,month,Lane,shipment,Holiday Flag,Quarter,Encoded_Lane,shipment_transformed,Previous Week Shipment,Previous Year Shipment,Previous 2Week Shipment,Moving Average Shipment,Predicted_shipment
2023-11-06,45,2023,11,DE02_29143519,1,0,4,1,0.6931471805599453,0,0,0,0,1
2023-11-13,46,2023,11,DE02_29143519,0,0,4,1,0.0,0,0,0,0,1
2023-11-20,47,2023,11,DE02_29143656,3,0,4,1,1.3862943611198906,0,0,0,0,1
2023-11-06,45,2023,11,DE02_29143656,2,0,4,1,1.0986122886681098,0,0,0,0,1
2023-11-13,46,2023,11,DE02_29143656,1,0,4,1,0.6931471805599453,0,0,0,0,1
2023-11-27,48,2023,11,DE02_29143656,1,0,4,1,0.6931471805599453,0,0,0,0,1
2023-11-13,46,2023,11,DE02_29191028,3,0,4,1,1.3862943611198906,0,0,0,0,1
2023-11-06,45,2023,11,DE02_29191028,1,0,4,1,0.6931471805599453,0,0,0,0,1
2023-11-20,47,2023,11,DE02_29191028,1,0,4,1,0.6931471805599453,0,0,0,0,1
2023-11-27,48,2023,11,DE02_29191028,1,0,4,1,0.6931471805599453,0,0,0,0,1
2023-11-06,45,2023,11,DE02_29365141,1,0,4,2,0.6931471805599453,0,0,0,0,1
2023-11-13,46,2023,11,DE02_29365141,1,0,4,2,0.6931471805599453,0,0,0,0,1
2023-11-20,47,2023,11,DE02_29365141,1,0,4,2,0.6931471805599453,0,0,0,0,1
2023-11-27,48,2023,11,DE02_29365141,0,0,4,2,0.0,0,0,0,0,1
2023-11-06,45,2023,11,DE02_29756574,2,0,4,2,1.0986122886681098,0,0,0,0,1
2023-11-13,46,2023,11,DE02_29756574,1,0,4,2,0.6931471805599453,0,0,0,0,1
2023-11-27,48,2023,11,DE02_29756574,1,0,4,2,0.6931471805599453,0,0,0,0,1
2023-11-20,47,2023,11,DE02_29756574,0,0,4,2,0.0,0,0,0,0,1
2023-11-06,45,2023,11,DE02_29785993,2,0,4,2,1.0986122886681098,0,0,0,0,1
2023-11-13,46,2023,11,DE02_29785993,2,0,4,2,1.0986122886681098,0,0,0,0,1
2023-11-20,47,2023,11,DE02_29785993,2,0,4,2,1.0986122886681098,0,0,0,0,1
2023-11-27,48,2023,11,DE02_29785993,2,0,4,2,1.0986122886681098,0,0,0,0,1
2023-11-13,46,2023,11,DE05_29145543,3,0,4,0,1.3862943611198906,0,0,0,0,1
2023-11-20,47,2023,11,DE05_29145543,2,0,4,0,1.0986122886681098,0,0,0,0,1
2023-11-06,45,2023,11,DE05_29145543,1,0,4,0,0.6931471805599453,0,0,0,0,1
2023-11-27,48,2023,11,DE05_29145543,0,0,4,0,0.0,0,0,0,0,1
2023-11-20,47,2023,11,DE05_29237315,2,0,4,0,1.0986122886681098,0,0,0,0,1
2023-11-06,45,2023,11,DE05_29237315,1,0,4,0,0.6931471805599453,0,0,0,0,1
2023-11-13,46,2023,11,DE05_29237315,1,0,4,0,0.6931471805599453,0,0,0,0,1
2023-11-27,48,2023,11,DE05_29237315,1,0,4,0,0.6931471805599453,0,0,0,0,1
2023-11-27,48,2023,11,DE06_29142961,2,0,4,0,1.0986122886681098,0,0,0,0,1
2023-11-06,45,2023,11,DE06_29142961,1,0,4,0,0.6931471805599453,0,0,0,0,1
2023-11-13,46,2023,11,DE06_29142961,1,0,4,0,0.6931471805599453,0,0,0,0,1
2023-11-20,47,2023,11,DE06_29142961,1,0,4,0,0.6931471805599453,0,0,0,0,1
2023-11-06,45,2023,11,DE06_29143103,1,0,4,0,0.6931471805599453,0,0,0,0,1
2023-11-13,46,2023,11,DE06_29143103,1,0,4,0,0.6931471805599453,0,0,0,0,1
2023-11-20,47,2023,11,DE06_29143103,1,0,4,0,0.6931471805599453,0,0,0,0,1
2023-11-27,48,2023,11,DE06_29143103,1,0,4,0,0.6931471805599453,0,0,0,0,1
2023-11-27,48,2023,11,DE06_29143128,2,0,4,0,1.0986122886681098,0,0,0,0,1
2023-11-13,46,2023,11,DE06_29143128,1,0,4,0,0.6931471805599453,0,0,0,0,1
2023-11-20,47,2023,11,DE06_29143128,1,0,4,0,0.6931471805599453,0,0,0,0,1
2023-11-06,45,2023,11,DE06_29143128,0,0,4,0,0.0,0,0,0,0,1
2023-11-20,47,2023,11,DE06_40106043,2,0,4,0,1.0986122886681098,0,0,0,0,1
2023-11-27,48,2023,11,DE06_40106043,2,0,4,0,1.0986122886681098,0,0,0,0,1
2023-11-13,46,2023,11,DE06_40106043,1,0,4,0,0.6931471805599453,0,0,0,0,1
2023-11-06,45,2023,11,DE06_40106043,0,0,4,0,0.0,0,0,0,0,1
2023-11-06,45,2023,11,DE08_29143191,1,0,4,0,0.6931471805599453,0,0,0,0,1
2023-11-13,46,2023,11,DE08_29143191,1,0,4,0,0.6931471805599453,0,0,0,0,1
2023-11-20,47,2023,11,DE08_29143191,1,0,4,0,0.6931471805599453,0,0,0,0,1
2023-11-27,48,2023,11,DE08_29143191,1,0,4,0,0.6931471805599453,0,0,0,0,1
2023-12-04,49,2023,12,DE02_29143519,5,0,4,1,1.791759469228055,0,0,0,0,1
2023-12-11,50,2023,12,DE02_29143519,1,0,4,1,0.6931471805599453,0,0,0,0,1
2023-12-18,51,2023,12,DE02_29143519,1,0,4,1,0.6931471805599453,0,0,0,0,1
2023-12-25,52,2023,12,DE02_29143519,1,1,4,1,0.6931471805599453,0,0,0,0,1
2023-12-11,50,2023,12,DE02_29143656,3,0,4,1,1.3862943611198906,0,0,0,0,1
2023-12-18,51,2023,12,DE02_29143656,3,0,4,1,1.3862943611198906,0,0,0,0,1
2023-12-04,49,2023,12,DE02_29143656,2,0,4,1,1.0986122886681098,0,0,0,0,1
2023-12-25,52,2023,12,DE02_29143656,2,1,4,1,1.0986122886681098,0,0,0,0,1
2023-12-11,50,2023,12,DE02_29191028,1,0,4,1,0.6931471805599453,0,0,0,0,1
2023-12-18,51,2023,12,DE02_29191028,1,0,4,1,0.6931471805599453,0,0,0,0,1
2023-12-04,49,2023,12,DE02_29191028,0,0,4,1,0.0,0,0,0,0,1
2023-12-25,52,2023,12,DE02_29191028,0,1,4,1,0.0,0,0,0,0,1
2023-12-25,52,2023,12,DE02_29365141,4,1,4,2,1.6094379124341003,0,0,0,0,1
2023-12-11,50,2023,12,DE02_29365141,1,0,4,2,0.6931471805599453,0,0,0,0,1
2023-12-18,51,2023,12,DE02_29365141,1,0,4,2,0.6931471805599453,0,0,0,0,1
2023-12-04,49,2023,12,DE02_29365141,0,0,4,2,0.0,0,0,0,0,1
2023-12-18,51,2023,12,DE02_29756574,2,0,4,2,1.0986122886681098,0,0,0,0,1
2023-12-04,49,2023,12,DE02_29756574,1,0,4,2,0.6931471805599453,0,0,0,0,1
2023-12-11,50,2023,12,DE02_29756574,1,0,4,2,0.6931471805599453,0,0,0,0,1
2023-12-25,52,2023,12,DE02_29756574,1,1,4,2,0.6931471805599453,0,0,0,0,1
2023-12-04,49,2023,12,DE02_29785993,1,0,4,2,0.6931471805599453,0,0,0,0,1
2023-12-18,51,2023,12,DE02_29785993,1,0,4,2,0.6931471805599453,0,0,0,0,1
2023-12-25,52,2023,12,DE02_29785993,1,1,4,2,0.6931471805599453,0,0,0,0,1
2023-12-11,50,2023,12,DE02_29785993,0,0,4,2,0.0,0,0,0,0,1
2023-12-18,51,2023,12,DE05_29145543,3,0,4,0,1.3862943611198906,0,0,0,0,1
2023-12-04,49,2023,12,DE05_29145543,2,0,4,0,1.0986122886681098,0,0,0,0,1
2023-12-25,52,2023,12,DE05_29145543,1,1,4,0,0.6931471805599453,0,0,0,0,1
2023-12-11,50,2023,12,DE05_29145543,0,0,4,0,0.0,0,0,0,0,1
2023-12-25,52,2023,12,DE05_29237315,2,1,4,0,1.0986122886681098,0,0,0,0,1
2023-12-04,49,2023,12,DE05_29237315,1,0,4,0,0.6931471805599453,0,0,0,0,1
2023-12-11,50,2023,12,DE05_29237315,1,0,4,0,0.6931471805599453,0,0,0,0,1
2023-12-18,51,2023,12,DE05_29237315,0,0,4,0,0.0,0,0,0,0,1
2023-12-04,49,2023,12,DE06_29142961,1,0,4,0,0.6931471805599453,0,0,0,0,1
2023-12-11,50,2023,12,DE06_29142961,1,0,4,0,0.6931471805599453,0,0,0,0,1
2023-12-18,51,2023,12,DE06_29142961,1,0,4,0,0.6931471805599453,0,0,0,0,1
2023-12-25,52,2023,12,DE06_29142961,1,1,4,0,0.6931471805599453,0,0,0,0,1
2023-12-11,50,2023,12,DE06_29143103,2,0,4,0,1.0986122886681098,0,0,0,0,1
2023-12-18,51,2023,12,DE06_29143103,1,0,4,0,0.6931471805599453,0,0,0,0,1
2023-12-25,52,2023,12,DE06_29143103,1,1,4,0,0.6931471805599453,0,0,0,0,1
2023-12-04,49,2023,12,DE06_29143103,0,0,4,0,0.0,0,0,0,0,1
2023-12-18,51,2023,12,DE06_29143128,2,0,4,0,1.0986122886681098,0,0,0,0,1
2023-12-04,49,2023,12,DE06_29143128,1,0,4,0,0.6931471805599453,0,0,0,0,1
2023-12-11,50,2023,12,DE06_29143128,1,0,4,0,0.6931471805599453,0,0,0,0,1
2023-12-25,52,2023,12,DE06_29143128,0,1,4,0,0.0,0,0,0,0,1
2023-12-11,50,2023,12,DE06_40106043,3,0,4,0,1.3862943611198906,0,0,0,0,1
2023-12-18,51,2023,12,DE06_40106043,2,0,4,0,1.0986122886681098,0,0,0,0,1
2023-12-25,52,2023,12,DE06_40106043,2,1,4,0,1.0986122886681098,0,0,0,0,1
2023-12-04,49,2023,12,DE06_40106043,0,0,4,0,0.0,0,0,0,0,1
2023-12-18,51,2023,12,DE08_29143191,3,0,4,0,1.3862943611198906,0,0,0,0,1
2023-12-04,49,2023,12,DE08_29143191,1,0,4,0,0.6931471805599453,0,0,0,0,1
2023-12-11,50,2023,12,DE08_29143191,1,0,4,0,0.6931471805599453,0,0,0,0,1
2023-12-25,52,2023,12,DE08_29143191,1,1,4,0,0.6931471805599453,0,0,0,0,1
